ch,yue
四聲,sei sing
囜,nan
囝,zai
囝,naam
回,wui
回乡卡,wui hoeng kaat
回声定位,wui sing ding wai
回笼觉,wui lung gaau
回籠覺,wui lung gaau
回聲定位,wui sing ding wai
回請,wui ceng
回请,wui ceng
回鄉卡,wui hoeng kaat
回魂覺,wui wan gaau
回魂觉,wui wan gaau
囟,seon
因,jan
因人成事,jan jan sing si
囡,naam
团,tyun
团长,tyun zoeng
団,tyun
囤,tyun
囤,deon
囤,teon
囥,kong
囦,jyun
囧,gwing
囨,pin
囩,wan
囪,cung
囪,tung
囪,coeng
囫,fat
囫,wat
囬,wui
园,jyun
园圃,jyun bou
园圃,jyun pou
囮,jau
囮,ngo
囯,gok
囯,gwok
困,kwan
困,fan
困,han
困戾颈,fan lai geng
困觉,fan gaau
困觉,han gaau
困觉,kwan gaau
困黑房,wan hak fong
囱,cung
囱,tung
囱,coeng
囲,tung
図,tou
围,wai
围名歌,wai meng go
围帎,wai dam
囵,leon
囶,gok
囶,gwok
囷,kwan
囸,jat
囹,ling
固,gu
囻,gok
囻,gwok
囼,toi
国,gwok
国乐,gwok ngok
国名,gwok meng
国名,gwok ming
国家机构,gwok gaa gei kau
国库券,gwok fu gyun
国库券,gwok fu hyun
国有国法家有家规,gwok jau gwok faat gaa jau gaa gwai
国防部长,gwok fong bou zoeng
国际原子能机构,gwok zai jyun zi nang gei kau
国际奥林匹克委员会,gwok zai ou lam pat hak wai jyun wui
国际电话卡,gwok zai din waa kaat
图,tou
图形卡,tou jing kaat
囿,jau
圀,gok
圀,gwok
圁,ngan
圂,wan
圂,waan
圃,pou
圃,bou
圄,jyu
圅,haam
圆,jyun
圆揼朵,jyun dam doe
圆毂辘,jyun gu luk
圆氹朵,jyun dam doe
圆轱辘,jyun gu luk
圆顶,jyun deng
圆领,jyun leng
圇,leon
圈,hyun
圈,gyun
圈肥,gyun fei
圉,jyu
圊,cing
國,gwok
國名,gwok meng
國名,gwok ming
國家機構,gwok gaa gei kau
國庫券,gwok fu gyun
國庫券,gwok fu hyun
國有國法家有家規,gwok jau gwok faat gaa jau gaa gwai
國樂,gwok ngok
國防部長,gwok fong bou zoeng
國際原子能機構,gwok zai jyun zi nang gei kau
國際奧林匹克委員會,gwok zai ou lam pat hak wai jyun wui
國際電話卡,gwok zai din waa kaat
圌,cyun
圌,seoi
圍,wai
圍名歌,wai meng go
圍帎,wai dam
圎,jyun
圏,hyun
圐,ku
圑,pou
園,jyun
園圃,jyun bou
園圃,jyun pou
圓,jyun
圓揼朵,jyun dam doe
圓氹朵,jyun dam doe
圓軲轆,jyun gu luk
圓轂轆,jyun gu luk
圓頂,jyun deng
圓領,jyun leng
圔,aap
圔,jap
圕,tou
圖,tou
圖形卡,tou jing kaat
圗,tou
團,tyun
團長,tyun zoeng
圙,loek
圚,kui
圚,wui
圛,jik
圜,waan
圜,jyun
圝,lyun
圞,lyun
土,tou
土墩,tou deon
土生土長,tou sang tou zoeng
土生土长,tou sang tou zoeng
土里土气,tou leoi tou hei
圠,caak
圡,tou
圢,ting
圣,sing
圣,fat
圣,gaai
圣皮埃尔和密克隆,sing pei oi ji wo mat hak lung
圣经外传,sing ging ngoi zyun
圣经贤传,sing ging jin zyun
圣诞卡,sing daan kaat
圣诞咭,sing daan gat
圣诞咭,sing daan kaat
圣诞咭,sing daan kat
圣路易斯,sing lou jik si
圣马利诺,sing maa lei lok
圣马利诺,sing maa lei nok
圣马力诺,sing maa lik lok
圣马力诺,sing maa lik nok
圤,pok
圥,luk
圦,faai
圧,zong
在,zoi
在生,zoi saang
在行,zoi hong
圩,wai
圩,heoi
圩,jyu
圪,ngat
圪,gat
圫,ou
圬,wu
圭,gwai
圮,pei
圯,ji
地,dei
地,deng
地名,dei meng
地席,dei zek
地毯,dei taam
地毯,dei taan
地毯拖鞋,dei taan to haai
地痞,dei mau
地痞,dei pei
地痞流氓,dei pei lau mong
地藏,dei zong
圱,cin
圲,cin
圳,zan
圳,hyun
圴,zoek
圵,joeng
圶,haap
圷,haa
圸,saan
圹,kong
圹,kwong
场,coeng
圻,kei
圻,ngan
圼,nit
圽,mut
圾,saap
圾,kap
圾,ngap
圿,git
址,zi
坁,zi
坂,baan
坂,faan
坃,hyun
坄,jik
坅,jam
坆,mui
均,gwan
均,kwan
均,wan
坈,haang
坉,nang
坉,tyun
坊,fong
坋,fan
坋,ban
坌,ban
坍,taan
坎,ham
坎坎糊,kaan kaan wu
坎昆,ham gwan
坏,waai
坏,pui
坐,zo
坐,co
坐下,co haa
坐不住,co bat zyu
坐井觀天,co zeng gun tin
坐井观天,co zeng gun tin
坐享其成,co hoeng kei sing
坐享其成,zo hoeng kei sing
坐企身,co kei san
坐低,co dai
坐低,zo dai
坐倒头车,co dou tau ce
坐倒頭車,co dou tau ce
坐冷板凳,co laang baan dang
坐几笼,co gei lung
坐几笼,zo gei lung
坐包厢,co baau soeng
坐包廂,co baau soeng
坐台,co toi
坐台,zo toi
坐唔定,co m ding
坐喺,co hai
坐地鐵,co dei tit
坐地铁,co dei tit
坐埋一条船,co maai jat tiu syun
坐埋一條船,co maai jat tiu syun
坐埋同一条船,co maai tung jat tiu syun
坐埋同一條船,co maai tung jat tiu syun
坐墩,zo deon
坐夜,co je
坐失良机,co sat loeng gei
坐失良機,co sat loeng gei
坐定嗰粒六,zo ding go lap luk
坐定定,co ding ding
坐山觀虎鬥,co saan gun fu dau
坐山观虎斗,co saan gun fu dau
坐幾籠,co gei lung
坐幾籠,zo gei lung
坐庙,co miu
坐廟,co miu
坐无影凳,co mou jing dang
坐月,co jyut
坐柜面,co gwai min
坐标,co biu
坐標,co biu
坐檯,co toi
坐檯,zo toi
坐櫃面,co gwai min
坐正,co zeng
坐正,co zing
坐波监,co bo gaam
坐波監,co bo gaam
坐火車,co fo ce
坐火车,co fo ce
坐無影凳,co mou jing dang
坐無影櫈,co mou jing dang
坐牢,co lou
坐牢,zo lou
坐班,co baan
坐监,co gaam
坐盘,co pun
坐監,co gaam
坐盤,co pun
坐移民监,co ji man gaam
坐移民監,co ji man gaam
坐稳船,co wan syun
坐稳车,co wan ce
坐穩船,co wan syun
坐穩車,co wan ce
坐立不安,co laap bat on
坐立不安,zo laap bat on
坐船,co syun
坐艇,co teng
坐花厅,co faa teng
坐花廳,co faa teng
坐茶监,co caa gaam
坐茶監,co caa gaam
坐莲,co lin
坐落,co lok
坐落,zo lok
坐蓮,co lin
坐起身,co hei san
坐車,co ce
坐輪椅,co leon ji
坐车,co ce
坐轮椅,co leon ji
坐霸王車,co baa wong ce
坐霸王车,co baa wong ce
坐飛機,co fei gei
坐飞机,co fei gei
坐食山崩,co sik saan bang
坐食山崩,zo sik saan bang
坐館,co gun
坐館,zo gun
坐馆,co gun
坐馆,zo gun
坑,haang
坑,gong
坑,gon
坑,kong
坒,bai
坓,zing
坔,dei
坕,ging
坖,gei
块,faai
坘,ci
坙,ging
坚,gin
坚定不移,gin deng bat ji
坚定不移,gin ding bat ji
坚韧,gin jan
坚韧,gin ngan
坚韧不拔,gin ngan bat bat
坛,taan
坛,taam
坛子,taam zi
坜,lik
坜,lek
坝,baa
坞,wu
坞,ou
坟,fan
坠,zeoi
坡,bo
坡,po
坢,bun
坢,pun
坣,tong
坤,kwan
坥,ceoi
坦,taan
坦克,taan haak
坦克,taan hak
坦克車,taan hak ce
坦克车,taan hak ce
坦噶尼喀,taan gaa nei kaa
坦率,taan seot
坧,zek
坨,to
坩,ham
坩,kim
坪,ping
坫,dim
坬,gwaa
坭,nai
坮,toi
坯,pui
坰,gwing
坱,joeng
坲,fat
坳,aau
坴,luk
坵,jau
坶,muk
坷,ho
坸,gau
坹,jyut
坺,pet
坺,paat
坺,baat
坺迾,paat laat
坺迾,pet let
坻,dai
坻,ci
坻,zi
坼,caak
坽,ling
坾,cyu
坿,fu
垀,fu
垁,zi
垂,seoi
垃,laap
垃,laa
垄,lung
垅,lung
垆,lou
垇,aau
垈,doi
垉,paau
垊,man
型,jing
垌,dung
垌,tung
垍,gei
垎,haak
垏,leot
垐,ci
垑,ci
垒,leoi
垒,leot
垓,goi
垔,jan
垕,hau
垖,deoi
垗,ziu
垗,siu
垘,fuk
垙,gwong
垚,jiu
垛,do
垜,do
垝,gwai
垞,caa
垟,joeng
垠,ngan
垡,fat
垢,gau
垢,hau
垣,wun
垤,dit
垥,hip
垦,han
垧,hoeng
垨,sau
垩,ok
垪,bing
垫,zin
垫,din
垫,dip
垫,dim
垫上,din soeng
垫付,din fu
垫圈,zin gyun
垫底儿,din dai ji
垫支,din zi
垫支,zin zi
垫款,din fun
垫江,dip gong
垫脚石,din goek sek
垫补,din bou
垫被,zin pei
垫褥,din juk
垫褥,zin juk
垬,hung
垭,aa
垮,kwaa
垯,daat
垰,lung
垱,dong
垲,hoi
垳,hang
垴,nou
垵,am
垶,sing
垷,jin
垸,jyun
垸,wun
垹,bong
垺,pui
垺,fu
垺,pau
垻,baa
垼,jik
垽,ngan
垾,hon
垿,zeoi
埀,seoi
埁,sam
埂,gang
埃,aai
埃,oi
埃加迪羣島,oi gaa dik kwan dou
埃加迪群岛,oi gaa dik kwan dou
埃及古物学,oi kap gu mat hok
埃及古物學,oi kap gu mat hok
埃及豆,oi kap dau
埃塞俄比亚,aai coi ngo bei aa
埃塞俄比亞,aai coi ngo bei aa
埃拉托塞尼斯,aai laai tok coi nei si
埃格斯特朗,oi gaak si dak long
埄,bung
埅,fong
埆,gok
埆,kok
埇,jung
埇,cung
埈,seon
埉,gaap
埊,dei
埊,deng
埋,maai
埋芡,maai hin
埋行,maai hong
埌,long
埍,gyun
城,sing
城,seng
城郭,seng gwok
城郭,sing gwok
城里,sing leoi
城闕,seng kyut
城闕,sing kyut
城阙,seng kyut
城阙,sing kyut
埏,jin
埏,saan
埏,sin
埐,zam
埑,zit
埒,lyut
埓,lyut
埔,bou
埕,cing
埕埕䍇䍇,cing cing taap taap
埖,faa
埗,bou
埗,fau
埘,si
埙,hyun
埙,fan
埚,wo
埚,gwo
埛,gwing
埜,je
埝,nim
埞,deng
域,wik
域名,wik meng
埠,fau
埠,bou
埠头,bou tau
埠头,fau tau
埠頭,bou tau
埠頭,fau tau
埡,aa
埢,gyun
埣,seoi
埣,seot
埤,pei
埤,bei
埤,pai
埤,bai
埥,zang
埦,wun
埧,geoi
埧,baa
埨,leon
埩,caang
埩,zang
埪,hung
埫,cung
埬,dung
埭,dai
埭,doi
埮,daam
埮,taam
埯,am
埰,coi
埱,cuk
埱,tau
埲,pung
埲,bung
埲,bong
埳,ham
埴,zik
埵,do
埶,ngai
埶,sai
執,zap
執仔婆,zap zai bo
執仔婆,zap zai po
執到寶,zap dou bo
執到寶,zap dou bou
執到正,zap dou zeng
執到都喊三聲,zap dou do haam saam seng
執到都喊三聲,zap dou dou haam saam seng
執到都喊三聲,zap dou dou haam saam sing
執字粒,zap zi lap
執字粒,zap zi nap
執得正,zap dak zeng
執拾好行李,zap sap hou hang lei
執正,zap zeng
執生,zap saang
執行長,zap hang zoeng
執輸行頭慘過敗家,zap syu haang tau caam gwo baai gaa
執輸行頭慘過敗家,zap syu hong tau caam gwo baai gaa
埸,jik
培,pui
培,bau
基,gei
基因扩大,gei jan kwok daai
基因扩大,gei jan kwong daai
基因擴大,gei jan kwok daai
基因擴大,gei jan kwong daai
基孔肯雅热,gei hung hang ngaa jit
基孔肯雅熱,gei hung hang ngaa jit
基希訥烏,gei hei nat wu
基希讷乌,gei hei nat wu
基础结构,gei co git kau
基礎結構,gei co git kau
埻,deoi
埻,zeon
埼,kei
埽,sou
埾,zeoi
埿,baan
埿,nai
堀,fat
堀,gwat
堁,fo
堂,tong
堂吃,tong jaak
堂家姐,dong gaa ze
堂家姐,tong gaa ze
堂課,dong fo
堂課,tong fo
堂课,dong fo
堂课,tong fo
堃,kwan
堄,ngai
堅,gin
堅定不移,gin deng bat ji
堅定不移,gin ding bat ji
堅韌,gin jan
堅韌,gin ngan
堅韌不拔,gin ngan bat bat
堆,deoi
堆,zeoi
堇,gan
堇,kan
堈,gong
堉,juk
堊,ok
堋,pang
堋,bing
堋,baang
堋,bang
堌,gu
堍,tou
堎,ling
堏,fong
堐,ngaai
堑,cim
堒,kwan
堓,ngon
堔,sam
堕,do
堕,fai
堕下陷阱,do haa ham zeng
堕皮,doe pei
堖,nou
堗,dat
堘,sing
堙,jan
堚,waan
堛,pei
堛,pik
堜,lin
堝,wo
堝,gwo
堞,dip
堟,zyun
堠,hau
堡,bou
堡,pou
堢,bou
堣,jyu
堤,tai
堥,mau
堥,mou
堦,gaai
堧,jyun
堨,aat
堨,oi
堩,gang
堪,ham
堫,zung
堬,jyu
堭,wong
堮,ngok
堯,jiu
堰,jin
報,bou
報名,bou meng
報名,bou ming
報生,bou saang
堲,zik
堲,zat
堳,mei
場,coeng
堵,dou
堵,ze
堶,to
堷,bau
堷,jam
堸,fung
堹,zung
堺,gaai
堻,zeon
堼,hang
堽,gong
堾,ceon
堿,gaan
堿,haam
堿,ham
塀,ping
塁,leoi
塂,hong
塃,fong
塄,ling
塅,dyun
塆,waan
塇,syun
塈,hei
塈,kei
塈,gei
塉,zik
塊,faai
塋,jing
塌,taap
塌,dap
塍,sing
塎,jung
塏,hoi
塐,sou
塑,sou
塑,sok
塑料,sok liu
塑料,sou liu
塑胶,sok gaau
塑胶,sou gaau
塑胶爆炸,sou gaau baau zaa
塑胶袋,sou gaau doi
塑胶跑道,sou gaau paau dou
塑胶车,sou gaau ce
塑膠,sok gaau
塑膠,sou gaau
塑膠爆炸,sou gaau baau zaa
塑膠袋,sou gaau doi
塑膠跑道,sou gaau paau dou
塑膠車,sou gaau ce
塑造,sok zou
塑造,sou zou
塑造成,sou zou sing
塒,si
塓,mik
塔,taap
塔什库尔干塔吉克自治县,taap sap fu ji gon taap gat hak zi zi jyun
塔什庫爾干塔吉克自治縣,taap sap fu ji gon taap gat hak zi zi jyun
塔吉克,taap gat haak
塔吉克,taap gat hak
塔吉克人,taap gat hak jan
塔吉克斯坦,taap gat hak si taan
塔吉克族,taap gat hak zuk
塔塔冚,tap tap ham
塔罗卡,taap lo kaat
塔羅卡,taap lo kaat
塕,jung
塖,sing
塗,tou
塗,caa
塗蓋,tou koi
塘,tong
塙,kok
塚,cung
塛,leot
塜,bung
塝,bong
塞,sak
塞,coi
塞內加爾,coi noi gaa ji
塞内加尔,coi noi gaa ji
塞哥維亞,coi go wai aa
塞哥维亚,coi go wai aa
塞外,coi ngoi
塞尔南,coi ji naam
塞尔特,coi ji dak
塞尔维亚,coi ji wai aa
塞尺,coi cek
塞巴斯蒂安,coi baa si dai on
塞拉利昂,coi laai lei ngong
塞族,coi zuk
塞浦路斯,coi pou lou si
塞淵,coi jyun
塞渊,coi jyun
塞爾南,coi ji naam
塞爾特,coi ji dak
塞爾維亞,coi ji wai aa
塞瓦斯托波尔,coi ngaa si tok bo ji
塞瓦斯托波爾,coi ngaa si tok bo ji
塞納河,coi naap ho
塞維利亞,coi wai lei aa
塞繆爾,coi mau ji
塞纳河,coi naap ho
塞维利亚,coi wai lei aa
塞缪尔,coi mau ji
塞翁失馬,coi jung sat maa
塞翁失马,coi jung sat maa
塞舌尔,coi sit ji
塞舌爾,coi sit ji
塞語,coi jyu
塞语,coi jyu
塞責,coi zaak
塞责,coi zaak
塞韋里諾,coi wai lei nok
塞韦里诺,coi wai lei nok
塟,zong
塠,deoi
塡,tin
塢,wu
塢,ou
塣,cing
塤,hyun
塤,fan
塥,gaak
塦,zan
塧,aai
塨,gung
塩,jim
塪,ham
填,tin
填,zan
填命,tin meng
塬,jyun
塭,wan
塮,ze
塯,lau
塰,hoi
塱,long
塲,coeng
塳,bung
塳,pung
塴,baang
塴,bang
塴,bing
塵,can
塵埃落定,can oi lok ding
塶,luk
塷,lou
塸,au
塹,cim
塺,mui
塺,mo
塻,mok
塼,zyun
塽,song
塾,suk
塿,lau
墀,ci
墁,maan
墂,biu
境,ging
墄,cak
墅,seoi
墆,dai
墆,zai
墆,dit
墇,zoeng
墈,ham
墉,jung
墊,zin
墊,din
墊,dip
墊,dim
墊上,din soeng
墊付,din fu
墊圈,zin gyun
墊底兒,din dai ji
墊支,din zi
墊支,zin zi
墊款,din fun
墊江,dip gong
墊腳石,din goek sek
墊被,zin pei
墊補,din bou
墊褥,din juk
墊褥,zin juk
墋,cam
墌,zek
墍,gei
墍,hei
墍,kei
墎,gwok
墏,coeng
墐,gan
墑,dik
墒,soeng
墓,mou
墔,ceoi
墕,jin
墖,taap
増,zang
墘,kin
墙,coeng
墚,loeng
墛,wai
墜,zeoi
墝,haau
增,zang
增,cang
增訂,zang ding
增订,zang ding
增長,zang zoeng
增长,zang zoeng
墟,heoi
墠,sin
墡,sin
墢,baat
墣,pok
墣,buk
墤,faai
墥,dung
墥,teon
墦,faan
墧,kok
墨,mak
墨,maak
墨盒,mak haap
墨盒,mak hap
墨翟,mak dik
墩,dan
墩,deon
墩起个款,deon hei go fun
墩起個款,deon hei go fun
墪,dan
墪,deon
墫,cyun
墫,deon
墫,zeon
墬,dei
墭,sing
墮,do
墮,fai
墮下陷阱,do haa ham zeng
墮皮,doe pei
墯,do
墯,fai
墰,taam
墱,dang
墲,mou
墳,fan
墴,wong
墵,taam
墶,daat
墷,jip
墸,zyu
墹,gaan
墺,ou
墻,coeng
墼,gik
墽,hiu
墽,haau
墾,han
墿,jik
墿,tou
壀,pei
壁,bik
壁,bek
壁橱,bik ceoi
壁橱,bik cyu
壁櫥,bik ceoi
壁櫥,bik cyu
壂,din
壃,goeng
壄,je
壅,ung
壅,jung
壅蔽,jung bai
壆,bok
壇,taan
壈,lam
壉,geoi
壊,waai
壋,dong
壌,joeng
壍,cim
壎,hyun
壎,fan
壏,haam
壐,saai
壑,kok
壒,oi
壓,aat
壓碇,aat deng
壓迫,aat baak
壓迫,aat bik
壔,dou
壕,hou
壖,jyun
壗,zeon
壘,leoi
壘,leot
壙,kong
壙,kwong
壚,lou
壛,jim
壜,taam
壝,wai
壞,waai
壟,lung
壠,lung
壡,jeoi
壢,lik
壢,lek
壣,leon
壤,joeng
壥,cin
壦,hyun
壧,ngaam
壨,leoi
壩,baa
壪,waan
士,si
壬,jam
壭,si
壮,zong
壯,zong
声,seng
声,sing
声东击西,sing dung gik sai
声乐,sing ngok
声价,sing gaa
声像,sing zoeng
声势,sing sai
声卡,sing kaat
声名,sing ming
声呐,sing naap
声响,sing hoeng
声喉涩,seng hau saap
声嘶力竭,sing sai lik kit
声囊,sing nong
声威,sing wai
声学,sing hok
声张,sing zoeng
声息,sing sik
声情并茂,sing cing bing mau
声押,sing aat
声援,sing wun
声旁,sing pong
声明,sing ming
声望,sing mong
声母,sing mou
声波,sing bo
声泪俱下,sing leoi keoi haa
声浪,sing long
声演,sing jin
声称,sing cing
声符,sing fu
声类,sing leoi
声纳,sing naap
声能,sing nang
声色,sing sik
声言,sing jin
声誉,sing jyu
声讨,sing tou
声训,sing fan
声说,sing syut
声请,sing cing
声调,sing diu
声速,sing cuk
声道,sing dou
声部,sing bou
声门,sing mun
声韵,sing wan
声频,sing pan
声鹀,sing mou
壱,jat
売,maai
壳,hok
壴,zyu
壵,zong
壶,wu
壷,wu
壸,kwan
壹,jat
壹,jik
壺,wu
壻,sai
壼,kwan
壽,sau
壾,mong
壿,cyun
壿,deon
夀,sau
夁,jat
夂,zi
夂,zung
夃,gu
夃,jing
处,cyu
处,syu
处变不惊,cyu bin bat geng
处变不惊,cyu bin bat ging
处长,cyu zoeng
夅,gong
夆,fung
备,bei
夈,zaai
変,bin
夊,seoi
夋,ceon
夌,ling
复,fuk
复,fau
复啅,fuk coek
复辟,fuk bik
复辟,fuk pik
夎,co
夎,zeoi
夏,haa
夏,gaa
夐,hing
夐,hyun
夑,sit
夒,naau
夒,nou
夓,haa
夔,kwai
夕,zik
外,ngoi
外交部長,ngoi gaau bou zoeng
外交部长,ngoi gaau bou zoeng
外太婆,ngoi taai po
外甥,ngoi saang
外甥,ngoi sang
外甥女婿,ngoi sang neoi sai
外甥媳妇,ngoi sang sik fu
外甥媳婦,ngoi sang sik fu
外科医生,ngoi fo ji saang
外科医生,ngoi fo ji sang
外科醫生,ngoi fo ji saang
外科醫生,ngoi fo ji sang
外行,ngoi hong
外長,ngoi zoeng
外长,ngoi zoeng
夗,jyun
夘,maau
夙,suk
多,do
多一事長一智,do jat si zoeng jat zi
多一事长一智,do jat si zoeng jat zi
多米尼克,do mai nei haak
多米尼克,do mai nei hak
多財善賈,do coi sin gu
多财善贾,do coi sin gu
多錢善賈,do cin sin gu
多钱善贾,do cin sin gu
夛,do
夜,je
夜晚黑,je maan haak
夜晚黑,je maan hak
夜裏,je lei
夜裏,je leoi
夝,ceng
夝,cing
夞,ngoi
够,gau
够义气,gaau ji hei
够寸,gaau cyun
够有突,gaau jau dat
够有突,gau jau dat
够照,gaau ziu
够照,gau ziu
够皮,gaau pei
够皮,gau pei
够脚,gaau goek
够脚,gau goek
够雷,gaau leoi
够雷,gau leoi
夠,gau
夠寸,gaau cyun
夠有突,gaau jau dat
夠有突,gau jau dat
夠照,gaau ziu
夠照,gau ziu
夠皮,gaau pei
夠皮,gau pei
夠義氣,gaau ji hei
夠腳,gaau goek
夠腳,gau goek
夠雷,gaau leoi
夠雷,gau leoi
夡,hei
夢,mung
夢醒,mung seng
夣,mung
夤,jan
夥,fo
夦,cam
大,daai
大,taai
大㗰,daai saai
大中学生,daai zung hok sang
大中學生,daai zung hok sang
大使級,daai si kap
大使级,daai si kap
大使館,daai si gun
大使馆,daai si gun
大侠,daai haap
大侠,daai hap
大俠,daai haap
大俠,daai hap
大修道院長,daai sau dou jyun zoeng
大修道院长,daai sau dou jyun zoeng
大吃一惊,daai hek jat geng
大吃一驚,daai hek jat geng
大吉利事,daai gat lai si
大吉利事,daai gat lei si
大吉利市,daai gat lai si
大吉利市,daai gat lei si
大命,daai meng
大唱特唱,daai zoeng dak zoeng
大啖一番,daai daam jat faan
大啖大啖,daai daam daai daam
大喝一声,daai hot jat seng
大喝一聲,daai hot jat seng
大嗱嗱,daai laa laa
大声疾呼,daai sing zat fu
大大啖,daai daai daam
大头钉,daai tau ding
大好鮮花插在牛屎裏,daai hou sin faa caap zoi ngau si lei
大姑姊,daai gu ze
大学学科能力测验,daai hok hok fo nang lik cak jim
大学生,daai hok saang
大學學科能力測驗,daai hok hok fo nang lik cak jim
大學生,daai hok saang
大家閨秀,daa gaa gwai sau
大家閨秀,daai gaa gwai sau
大家闺秀,daa gaa gwai sau
大家闺秀,daai gaa gwai sau
大差,daai caai
大平卖,daai peng maai
大平賣,daai peng maai
大张挞伐,daai zoeng daat fat
大張撻伐,daai zoeng daat fat
大惊,daai geng
大揈,daai fang
大放悲声,daai fong bei sing
大放悲聲,daai fong bei sing
大斑鶺鴒,daai baan zek ling
大斑鹡鸰,daai baan zek ling
大方广佛华严经,daai fong gwong fat waa jim ging
大方廣佛華嚴經,daai fong gwong fat waa jim ging
大月氏,daai juk zi
大月氏,daai jyut zi
大朋,daai paang
大柠乐,daai ling lok
大柠乐,daai ning lok
大校,daai gaau
大楷,daai gaai
大楷,daai kaai
大檸樂,daai ling lok
大檸樂,daai ning lok
大汗叠细汗,daai hon daap sai hon
大汗疊細汗,daai hon daap sai hon
大海捞针,daai hoi laau zam
大海撈針,daai hoi laau zam
大眼瞪小眼,daai ngaan dang siu ngaan
大石砸死蟹,daai sek zaak sei haai
大笑姑婆,daai siu gu po
大粒,daai lap
大粒,daai nap
大粒佬,daai nap lou
大粒佬,daai lap lou
大粒嘢,daai nap je
大粒嘢,daai lap je
大粒墨,daai nap mak
大粒墨,daai lap mak
大粒癦,daai nap mak
大粒癦,daai lap mak
大粒色,daai nap sik
大紅花轎,daai hung faa kiu
大红花轿,daai hung faa kiu
大聲疾呼,daai sing zat fu
大肚耽,daai tou dam
大脾,daai bei
大般涅槃經,daai bo nip pun ging
大般涅槃经,daai bo nip pun ging
大葵扇,daai gwai sin
大葵扇,daai kwai sin
大藏經,daai zong ging
大藏经,daai zong ging
大行,daai hong
大行其道,daai hang kei dou
大行星,daai hang sing
大被冚过头,daai bei kam gwo tau
大被冚過頭,daai bei kam gwo tau
大褂,daai gwaa
大覺瞓,daai gaau fan
大觉瞓,daai gaau fan
大雅,daai aa
大頭釘,daai tau ding
大食渍,daai sik zik
大食漬,daai sik zik
大驚,daai geng
夨,zak
天,tin
天下乌鸦一样黑,tin haa wu aa jat joeng haak
天下乌鸦一样黑,tin haa wu aa jat joeng hak
天下烏鴉一樣黑,tin haa wu aa jat joeng haak
天下烏鴉一樣黑,tin haa wu aa jat joeng hak
天使,tin si
天口焮,tin hau hing
天朗气清,tin long hei ceng
天朗氣清,tin long hei ceng
天生,tin saang
天生,tin sang
天祝藏族自治县,tin zuk zong zuk zi zi jyun
天祝藏族自治縣,tin zuk zong zuk zi zi jyun
天蠍,tin kit
天蠍座,tin hit zo
天蠍座,tin kit zo
天蠍星,tin hit sing
天頂,tin deng
天頂,tin ding
天顶,tin deng
天顶,tin ding
天黑,tin haak
天黑,tin hak
太,taai
太仆,taai buk
太婆,daai po
太婆,taai po
太平山頂,taai ping saan deng
太平山顶,taai ping saan deng
太空卡,taai hung kaat
太空行走,taai hung hang zau
太行山,taai hang saan
太阳晒到头壳顶,taai joeng saai dou tau hok deng
太阳镜,daai joeng geng
太阳镜,taai joeng geng
太陽曬到頭殼頂,taai joeng saai dou tau hok deng
太陽鏡,daai joeng geng
太陽鏡,taai joeng geng
夫,fu
夬,gwaai
夭,jiu
夭,ou
央,joeng
央,jing
央行,joeng hong
夯,haang
夯,ban
夰,gou
失,sat
失,jat
失惊无神,sat geng mou san
失物認領,sat mat jing ling
失物认领,sat mat jing ling
失調,sat tiu
失调,sat tiu
失驚無神,sat geng mou san
夲,tou
夳,taai
头,tau
头䋨,tau pau
头冚,tau kam
头刺,tau cek
头刺,tau cik
头啖汤,tau daam tong
头嗒嗒,tau dap dap
头壳顶,tau hok deng
头揈揈,tau fang fang
头揈揈,tau fing fing
头祃,tau maa
头祃,tau ngaa
头重脚轻,tau cung goek heng
头顶,tau deng
头顶,tau ding
夵,jim
夶,bei
夷,ji
夸,kwaa
夹,gaap
夹,gep
夹,gip
夹,gap
夹,gaak
夹,hip
夹公仔,gep gung zai
夹娃娃,gep waa waa
夹手夹脚,gaap sau gaap goek
夹手夹脚,gap sau gap goek
夹断,gep tyun
夹生,gaap saang
夹糖,gep tong
夹脚,gep goek
夹脚,gip goek
夹袄,gaap ngou
夹袄,gaap ou
夹被,gaap pei
夺,dyut
夺眶而出,dyut hong ji ceot
夺眶而出,dyut kwaang ji ceot
夻,ng
夼,kong
夼,kwong
夽,wan
夾,gaap
夾,gep
夾,gip
夾,gap
夾,gaak
夾,hip
夾公仔,gep gung zai
夾娃娃,gep waa waa
夾手夾腳,gaap sau gaap goek
夾手夾腳,gap sau gap goek
夾斷,gep tyun
夾生,gaap saang
夾糖,gep tong
夾腳,gep goek
夾腳,gip goek
夾被,gaap pei
夾襖,gaap ngou
夾襖,gaap ou
夿,baa
奀,ngan
奀嫋鬼命,ngan niu gwai meng
奀嫋鬼命,ngan tiu gwai meng
奀挑鬼命,ngan tiu gwai meng
奀挑鬼命,ngan tiu gwai ming
奀袅鬼命,ngan niu gwai meng
奀袅鬼命,ngan tiu gwai meng
奁,lim
奂,wun
奃,dai
奄,jim
奄列,am lit
奄列,jim lit
奅,paau
奆,gyun
奇,kei
奇,gei
奇偶,gei ngau
奇函数,gei haam sou
奇函數,gei haam sou
奇数,gei sou
奇數,gei sou
奇昆古尼亚热,kei gwan gu nei aa jit
奇昆古尼亚病毒,kei gwan gu nei aa beng duk
奇昆古尼亞熱,kei gwan gu nei aa jit
