ch,wuu-sh,wuu-sz
國樂,koq yaq,kueq yaq
圌,zoe,ze
圍,we,we
圍,yu,yu
圍兜,yu teu,yu teu
圍巾,yu cin,yu cin
圍涎,yu ze,yu ye
圍袋袋,yu de de,yu de de
圍身,yu sen,yu sen
圐,khu,khou
園,yoe,yoe
園長,yoe tsan,yoe tsan
圓,yoe,yoe
圖,du,dou
圖個,du ku,dou kou
團,doe,doe
團長,doe tsan,doe tsan
圙,len,len
圜,we,we
圜,yoe,yoe
圞,loe,loe
土,thu,thou
土家,thu cia,thou cia
圢,thin,thin
圣,sen,sen
圤,phoq,phoq
圤,phau,phau
在,ze,ze
在行,ze ghaon,ze ghaon
圩,we,we
圩,shiu,yu
圩,yu,yu
圪,keq,keq
圫,au,au
圬,u,ou
圭,kue,kue
圮,bi,bi
圮,phi,phi
圯,yi,yi
地,di,di
地方个,di faon gheq,di faon keq
圱,tshi,tshie
圲,tshi,tshie
圳,tsen,tsen
圹,khuaon,khuaon
场,zan,zan
场长,zan tsan,zan tsan
圻,ji,ji
圼,gniq,gniq
圾,si,si
圾,seq,seq
址,tsy,tsyu
坂,pe,pe
均,cion,ciun
均,ciun,ciun
坉,den,den
坊,faon,faon
坋,ven,ven
坌,ben,ben
坍,the,the
坎,khe,khoe
坏,wa,wa
坏,be,be
坏,phe,phe
坏,wa,ua
坏,wa,we
坐,zu,zou
坐家囡,zu ka noe,zou cia noe
坑,khan,khan
坑,khaon,khaon
坑,khen,khen
坒,bi,bi
块,khue,khue
坚,ci,cie
坛,de,de
坛,de,doe
坜,liq,liq
坝,po,po
坝,pa,po
坞,u,ou
坟,ven,ven
坠,zoe,zyu
坠,zoe,ze
坡,phu,phu
坤,khuen,khuen
坥,tshiu,tshi
坦,the,the
坦率,the se,the se
坨,du,dou
坩,koe,koe
坪,bin,bin
坫,ti,tie
坬,kua,ko
坭,gni,gni
坯,phe,phe
坰,cion,cion
坳,au,au
坷,khu,khou
坷垃,khu la,khou la
坻,zy,zyu
坻,ti,ti
坼,tshaq,tshaq
坽,lin,lin
垂,zoe,ze
垂涎,zoe yi,ze ye
垃,laq,laeq
垃,la,la
垃,leq,leq
垃圾,la si,la si
垃圾,laq seq,laeq seq
垃拉,laq laq,laeq laeq
垄,lon,lon
垅,lon,lon
垆,lu,lou
垈,de,de
型,yin,yin
垌,don,don
垍,ji,ji
垎,khaq,khaq
垏,liq,liq
垒,le,le
垓,ke,ke
垕,gheu,gheu
垙,kuaon,kuaon
垚,gniau,zau
垛,tu,tou
垛,du,dou
垞,zo,zo
垟,yan,yan
垠,gnin,gnin
垠,gnin,gni
垡,vaq,vaeq
垢,keu,keu
垣,yoe,yoe
垤,diq,diq
垦,khen,khen
垧,san,sen
垩,o,o
垩,oq,ngoq
垫,di,die
垭,ia,ia
垭,ia,io
垮,kho,kho
垮,khua,kho
垯,taq,taeq
垱,taon,taon
垲,khe,khe
垴,nau,nau
垸,woe,woe
垸,yoe,yoe
垺,beu,beu
垾,ghoe,ghoe
垿,ziu,zi
埂,kan,ken
埂,kan,kan
埃,e,e
埆,chiaq,chiq
埆,khoq,khoq
埆,koq,koq
埇,ion,ion
埋,ma,ma
埋,me,me
埌,laon,laon
城,zen,zen
埏,yi,ye
埒,liq,liq
埔,phu,phu
埔,pu,pu
埕,zen,zen
埗,bu,bu
埘,zy,zyu
埙,shioe,shioe
埚,ku,kou
埝,gni,gni
埝,ti,ti
域,yoq,ioq
域,yuq,yuq
埠,bu,bu
埡,ia,ia
埡,ia,io
埤,bi,bi
埨,len,len
埪,khon,khon
埫,san,sen
埫,tshon,tshon
埭,da,da
埭,de,de
埯,oe,oe
埰,tshe,tshe
埲,bon,bon
埴,zeq,zeq
執,tseq,tseq
埸,yiq,yiq
培,be,be
基,ci,ci
埼,ji,ji
埽,sau,sau
埿,gni,gni
堂,daon,daon
堃,khuen,khuen
堅,ci,cie
堆,te,te
堇,cin,cin
堇,jin,jin
堉,yoq,ioq
堊,o,o
堊,oq,ngoq
堋,ben,ben
堋,pen,pen
堌,ku,kou
堍,thu,thou
堎,len,len
堐,ya,ya
堑,tshi,tshie
堑,chi,chie
堕,du,dou
堙,in,in
堛,biq,biq
堝,ku,kou
堞,diq,diq
堟,zoe,zoe
堠,gheu,gheu
堡,pau,pau
堢,pau,pau
堢,phu,phu
堢,pu,pu
堤,di,di
堧,gnioe,ngoe
堨,e,e
堨,eq,eq
堨,gniq,gniq
堪,khe,khoe
堯,gniau,zau
堯,yau,yau
堰,i,ie
報,pau,pau
堲,tsiq,tsiq
場,zan,zan
場長,zan tsan,zan tsan
堵,tu,tou
堼,fon,fon
堽,kaon,kaon
堾,tshen,tshen
堾,tshoe,tshoe
堿,ke,ke
堿,ci,cie
塃,huaon,huaon
塄,len,len
塅,doe,doe
塆,ue,ue
塈,ji,ji
塊,khue,khue
塋,yin,yin
塋,yon,yin
塌,thaq,thaeq
塍,zen,zen
塍,zen,zan
塏,khe,khe
塑,su,sou
塑,soq,soq
塑料,soq liau,soq liau
塑料,su liau,sou liau
塑胶,soq kau,soq ciau
塑胶,su kau,sou ciau
塑膠,soq kau,soq ciau
塑膠,su kau,sou ciau
塒,zy,zyu
塔,thaq,thaeq
塕,on,on
塗,du,dou
塘,daon,daon
塚,tson,tson
塝,baon,baon
塞,seq,seq
塞,se,se
塞內,se ne,se ne
塞内,se ne,se ne
塞北,se poq,se poq
塞外,se nga,se nga
塞尚,se zaon,se zaon
塞得,se teq,se teq
塞族,se zoq,se zoq
塞翁,se on,se on
塢,u,ou
塤,shioe,shioe
塥,keq,keq
填,di,die
塬,gnioe,gnioe
塮,zia,zia
塱,laon,laon
塳,bon,bon
塵,zen,zen
塸,eu,eu
塸,tshieu,tsheu
塹,tshi,tshie
塹,chi,chie
塽,saon,saon
塾,zoq,zoq
塿,leu,leu
墀,zy,zyu
墁,moe,moe
境,cin,cin
墅,zy,zyu
墅,zy,zy
墈,khoe,khoe
墉,yon,yon
墊,di,die
墐,jin,jin
墑,saon,saon
墒,saon,saon
墓,mo,mo
墓,mu,mo
墓,m,m
墘,ji,jie
墙,zian,zian
墚,lian,lian
墜,zoe,zyu
墜,zoe,ze
增,tsen,tsen
增大,tsen du,tsen dou
增長,tsen tsan,tsen tsan
增长,tsen tsan,tsen tsan
墟,shiu,shiu
墟,shiu,chiu
墠,zoe,zoe
墡,zoe,zoe
墣,phoq,phoq
墦,ve,ve
墨,meq,meq
墩,ten,ten
墮,du,dou
墳,ven,ven
墶,taq,taeq
墺,au,au
墻,zian,zian
墼,ciq,ciq
墾,khen,khen
壁,piq,piq
壅,ion,ion
壇,de,de
壇,de,doe
壋,taon,taon
壑,hoq,hoq
壓,aq,aq
壕,ghau,ghau
壕,ghau,ngau
壗,he,he
壘,le,le
壙,khuaon,khuaon
壚,lu,lou
壜,de,de
壞,wa,wa
壞,wa,ua
壞,wa,we
壟,lon,lon
壠,lon,lon
壢,liq,liq
壣,lin,len
壤,gnian,zan
壤,gnian,gnian
壩,po,po
壩,pa,po
壪,ue,ue
士,zy,zyu
士,zy,zy
壬,gnin,zen
壬,zen,zen
壬,gnin,gnin
壮,tsaon,tsaon
壮,zaon,zaon
壮族,zaon zoq,zaon zoq
壯,tsaon,tsaon
壯,zaon,zaon
壯族,zaon zoq,zaon zoq
声,sen,sen
声,san,san
声乐,sen yaq,sen yaq
声望,sen waon,sen maon
声气,san chi,san chi
壳,khoq,koq
壳,khoq,khoq
壶,wu,ghou
壷,wu,ghou
壸,khuen,khuen
壹,iq,iq
壺,wu,ghou
壻,siu,si
壼,khuen,khuen
壽,zeu,zeu
夂,tson,tson
夂,tsy,tsyu
处,tshy,tshyu
处长,tshy tsan,tshyu tsan
备,be,be
夊,soe,se
复,foq,foq
复,voq,voq
复,veu,veu
复会,voq we,voq we
复信,voq sin,voq sin
复员,voq yoe,voq yoe
夏,gho,gho
夏,shia,ia
夏,gho,shia
夐,shioe,shioe
夐,yon,yon
夔,gue,gue
夕,ziq,ziq
外,nga,nga
外,nga,wa
外,nga,we
外孙囡,nga san noe,nga sen noe
外孫囡,nga san noe,nga sen noe
外行,nga ghaon,nga ghaon
外長,nga tsan,nga tsan
外长,nga tsan,nga tsan
夗,ioe,ioe
夘,tsi,mau
夙,soq,soq
多,tu,tou
多,ta,tou
多,tu,ta
多个,tu gheq,tou keq
多个,tu ku,tou keq
多大,tu du,tou dou
多日,ta gniq,tou zeq
多日,tu gniq,tou zeq
多日,tu zeq,tou zeq
夜,ya,ya
夜,ia,ia
夜,ya,ie
够,keu,keu
够个,keu gheq,keu keq
夠,keu,keu
夢,maon,maon
夢,mon,mon
夤,yin,yin
夥,hu,hou
大,da,da
大,du,dou
大一点,du iq ti,dou iq tie
大一點,du iq ti,dou iq tie
大丰,du fon,dou fon
大乱,du loe,dou loe
大亂,du loe,dou loe
大事体,du zy thi,dou zyu thi
大事體,du zy thi,dou zyu thi
大亏,du khue,dou khue
大些,du si,dou si
大人道理,du gnin dau li,dou zen dau li
大伯伯,du paq paq,dou poq poq
大但,du de,dou de
大佬,du lau,dou lau
大修,du sieu,dou seu
大假,du ka,dou cia
大公司,du kon sy,dou kon sy
大兵,du pin,dou pin
大冲浪,du tshon laon,dou tshon laon
大前天,du zi thi,dou zie thie
大前日,du zi gniq,dou zie zeq
大功,du kon,dou kon
大加,du ka,dou cia
大动,du don,dou don
大劫,du ciq,dou ciq
大勇,du ion,dou ion
大動,du don,dou don
大勤共,du jin gon,dou jin gon
大勿对头,du veq te deu,dou veq te deu
大勿對頭,du veq te deu,dou veq te deu
大化,du ho,dou ho
大区,du chiu,dou chiu
大區,du chiu,dou chiu
大半,du poe,dou poe
大厂,du tshan,dou tshan
大厅,du thin,dou thin
大原,du gnioe,dou gnioe
大厨,du zy,dou zyu
大厰,du tshan,dou tshan
大县,du yoe,dou yoe
大叔,du soq,dou soq
大变,du pi,dou pie
大口,du kheu,dou kheu
大叫,du ciau,dou ciau
大吃,du chiq,dou chiq
大名人,du min gnin,dou min zen
大后天,du gheu thi,dou gheu thie
大后日,du gheu gniq,dou gheu zeq
大吵,du tshau,dou tshau
大吹,du tshy,dou tshyu
大吼,du heu,dou heu
大呼,du hu,dou hou
大哭,du khoq,dou khoq
大喜,du shi,dou shi
大喫,du chiq,dou chiq
大嘴巴,du tsy po,dou tsyu po
大嚷,du gnian,dou zan
大嚼,du ziaq,dou ziaq
大圈子,du chioe tsy,dou chioe tsy
大地方,du di faon,dou di faon
大城,du zen,dou zen
大堂,du daon,dou daon
大堤,du di,dou di
大報,du pau,dou pau
大增,du tsen,dou tsen
大大前日,du du zi gniq,dou dou zie zeq
大头,du deu,dou deu
大头大脑,du deu du nau,dou deu dou nau
大好佬,du hau lau,dou hau lau
大妈妈,du ma ma,dou ma ma
大妹,du me,dou me
大姐,da tsi,da tsia
大姐,du tsia,dou tsia
大姑,du ku,dou kou
大姑娘,da ku gnian,da kou gnian
大姑娘,du ku gnian,dou kou gnian
大姓,du sin,dou sin
大姨,du yi,dou yi
大媽媽,du ma ma,dou ma ma
大嫂,du sau,dou sau
大字库,du zy khu,dou zy khou
大字庫,du zy khu,dou zy khou
大官,du kuoe,dou kuoe
大家,da cia,da cia
大家,da ka,da cia
大家大当,du ka du taon,dou cia dou taon
大家大當,du ka du taon,dou cia dou taon
大小,du siau,dou siau
大局,du jioq,dou jioq
大山,du se,dou se
大川,du tshoe,dou tshoe
大市,du zy,dou zyu
大幅,du foq,dou foq
大干,du koe,dou koe
大年三十,da gni se zeq,da gnie se zeq
大年三十,du gni se seq,dou gnie se seq
大年三十,du gni se zeq,dou gnie se zeq
大年夜,du gni ya,dou gnie ya
大幹,du koe,dou koe
大度,da du,da dou
大廚,du zy,dou zyu
大廳,du thin,dou thin
大弟,du di,dou di
大後天,du gheu thi,dou gheu thie
大後日,du gheu gniq,dou gheu zeq
大忙,du maon,dou maon
大悲,du pe,dou pe
大惊,du cin,dou cin
大戏,du shi,dou shi
大战,du tsoe,dou tsoe
大截,du ziq,dou ziq
大戰,du tsoe,dou tsoe
大戲,du shi,dou shi
大手,du seu,dou seu
大打,du tan,dou tan
大把,du po,dou po
大抓,du tsa,dou tsa
大报,du pau,dou pau
大排,du ba,dou ba
大排汤,da ba thaon,da ba thaon
大排湯,da ba thaon,da ba thaon
大推大扳,du the du pe,dou the dou pe
大推扳,du the pe,dou the pe
大敌,du diq,dou diq
大敗,du ba,dou ba
大敵,du diq,dou diq
大斧,du fu,dou fu
大旗,du ji,dou ji
大月,du gnioq,dou gnioq
大月,du gniuq,dou ngeq
大月,du yoq,dou yuq
大月,du yuq,dou yuq
大村,du tshen,dou tshen
大枪,du tshian,dou tshian
大柜,du gue,dou gue
大树,du zy,dou zyu
大桥,du jiau,dou jiau
大梁,du lian,dou lian
大棚,du ban,dou ban
大楼,du leu,dou leu
大槍,du tshian,dou tshian
大樑,du lian,dou lian
大樓,du leu,dou leu
大樹,du zy,dou zyu
大橋,du jiau,dou jiau
大櫃,du gue,dou gue
大殿,du di,dou die
大水,du sy,dou syu
大汗,du ghoe,dou ghoe
大汛,du sin,dou sin
大洞,du don,dou don
大派,du pha,dou pha
大流,du lieu,dou leu
大浪,du laon,dou laon
大清早,du tshin tsau,dou tshin tsau
大清老早,du tshin lau tsau,dou tshin lau tsau
大溪,du chi,dou chi
大潮汛,du zau sin,dou zau sin
大火,du hu,dou hou
大灶,du tsau,dou tsau
大煠蟹,du zaq ha,dou zaeq ha
大班,du pe,dou pe
大病,du bin,dou bin
大的,du tiq,dou tiq
大皮,du bi,dou bi
大眼,du nge,dou nge
大碗,du uoe,dou uoe
大碟,du diq,dou diq
大社,du zo,dou zo
大祸,du wu,dou ghou
大禍,du wu,dou ghou
大竈,du tsau,dou tsau
大站,du ze,dou ze
大篆,du zoe,dou zoe
大篮,du le,dou le
大籃,du le,dou le
大类,du le,dou le
大紅,du ghon,dou ghon
大細,du si,dou si
大網,du maon,dou maon
大縣,du yoe,dou yoe
大红,du ghon,dou ghon
大细,du si,dou si
大网,du maon,dou maon
大罪,du zoe,dou ze
大罵,du mo,dou mo
大老板,du lau pe,dou lau pe
大老闆,du lau pe,dou lau pe
大肚皮,du du bi,dou dou bi
大胖子,du phaon tsy,dou phaon tsy
大脚,du ciaq,dou ciaq
大脚膀,du ciaq phaon,dou ciaq phaon
大腳,du ciaq,dou ciaq
大膀,du phaon,dou phaon
大舅,du jieu,dou jieu
大舌头,du zeq deu,dou zeq deu
大舌頭,du zeq deu,dou zeq deu
大菜間,da tshe ke,da tshe ke
大菜间,da tshe ke,da tshe ke
大藏区,du zaon chiu,dou zaon chiu
大藏區,du zaon chiu,dou zaon chiu
大虧,du khue,dou khue
大虾,du ho,dou ho
大蛇,du zo,dou zo
大蝦,du ho,dou ho
大螺,du lu,dou lou
大血,du shioq,dou shiuq
大血,du shiuq,dou shiuq
大衝浪,du tshon laon,dou tshon laon
大被告,da bi kau,da bi kau
大襟衣裳,du cin i zaon,dou cin i zaon
大解,du cia,dou cia
大計,du ci,dou ci
大變,du pi,dou pie
大计,du ci,dou ci
大谷,du koq,dou koq
大豆,du deu,dou deu
大豐,du fon,dou fon
大賽,du se,dou se
大败,du ba,dou ba
大赛,du se,dou se
大跌,du tiq,dou tiq
大路,du lu,dou lou
大身,du sen,dou sen
大車,du tsho,dou tsho
大车,du tsho,dou tsho
大門,du men,dou men
大门,du men,dou men
大阿姨,du a yi,dou aeq yi
大阿姨,du aq yi,dou aeq yi
大阿福,du aq foq,dou aeq foq
大震,du tsen,dou tsen
大頭,du deu,dou deu
大頭大腦,du deu du nau,dou deu dou nau
大額,du ngaq,dou ngaq
大類,du le,dou le
大额,du ngaq,dou ngaq
大馬,du mo,dou mo
大駕,du ka,dou cia
大驚,du cin,dou cin
大马,du mo,dou mo
大驾,du ka,dou cia
大骂,du mo,dou mo
大骱,du ga,dou ha
大髈,du phaon,dou phaon
大魚,du ng,dou yu
大鱼,du ng,dou yu
大鴇,du pau,dou pau
大鵬,du ban,dou ban
大鸨,du pau,dou pau
大鹏,du ban,dou ban
大龍,du lon,dou lon
大龙,du lon,dou lon
夨,liq,liq
天,thi,thie
天分,thi ven,thie ven
天大,thi du,thie dou
天差地別,thi tsho di biq,thie tsho di biq
天差地别,thi tsho di biq,thie tsho di biq
天狗吃月亮,thi keu chiq yoq lian,thie keu chiq yuq lian
天狗吃月亮,thi keu chiq yuq lian,thie keu chiq yuq lian
天狗喫月亮,thi keu chiq yoq lian,thie keu chiq yuq lian
天狗喫月亮,thi keu chiq yuq lian,thie keu chiq yuq lian
天生,thi san,thie san
太,tha,tha
太,the,the
太大,tha du,tha dou
太行,tha ghaon,tha ghaon
夫,fu,fu
夬,kua,kua
夭,iau,iau
央,ian,ian
央行,ian ghaon,ian ghaon
夯,han,han
失,seq,seq
失望,seq waon,seq maon
头,deu,deu
头个,deu gheq,deu keq
头生,deu san,deu san
夶,pi,pi
夷,yi,yi
夸,kho,kho
夸,khua,kho
夸,kho,khua
夸張,khua tsan,kho tsan
夹,kaq,kaeq
夹,ciaq,kaeq
夹,ciaq,ciaeq
夺,deq,deq
夼,khuaon,khuaon
夾,kaq,kaeq
夾,ciaq,kaeq
夾,ciaq,ciaeq
奁,li,lie
奂,huoe,huoe
奄,i,ie
奅,mau,phau
奅,phau,phau
奇,ji,ji
奇,ci,ci
奈,ne,ne
奉,von,von
奋,fen,fen
奎,khue,khue
奏,tseu,tseu
奏乐,tseu yaq,tseu yaq
奏樂,tseu yaq,tseu yaq
奐,huoe,huoe
契,chi,chi
契,chiq,chiq
契丹,chiq te,chiq te
契舟求剑,chiq tseu jieu ci,chiq tseu jieu cie
契舟求劒,chiq tseu jieu ci,chiq tseu jieu cie
奓,tsa,tso
奓,so,so
奓,tshy,tshyu
奓,tso,tso
奔,pen,pen
奕,yiq,yiq
奖,tsian,tsian
套,thau,thau
奘,tsaon,tsaon
奘,zaon,zaon
奘力,zaon liq,zaon liq
奚,shi,shi
奚,yi,yi
奠,di,die
奡,ngau,ngau
奢,so,so
奢,shia,so
奢,so,seu
奢遮,shia tsa,so tso
奤,phoq,phoq
奥,au,au
奧,au,au
奩,li,lie
奪,deq,deq
奭,saq,seq
奮,fen,fen
奯,huaq,huaeq
女,gniu,gniu
女个,gniu gheq,gniu keq
女仔,gniu tse,gniu tse
女家,gniu cia,gniu cia
女家,gniu ka,gniu cia
女当家,gniu taon ka,gniu taon cia
女當家,gniu taon ka,gniu taon cia
奴,nu,nou
奶,na,na
奶,ne,ne
奸,ke,ke
奸,ci,cie
奸,cie,cie
她,tha,tha
好,hau,hau
好个,hau gheq,hau keq
好个,hau ku,hau keq
好个怀,hau gheq wa,hau keq wa
好個懷,hau gheq wa,hau keq wa
好呢,hau ne,hau gni
好問,hau men,hau ven
好多日,hau tu gniq,hau tou zeq
好恶,hau u,hau ou
好惡,hau u,hau ou
好生意經,hau san i cin,hau san i cin
好生意经,hau san i cin,hau san i cin
好覺,hau kau,hau ciau
好觉,hau kau,hau ciau
好问,hau men,hau ven
妁,zaq,zaq
如,zy,zyu
如,lu,zyu
如日,zy zeq,zyu zeq
如望,zy waon,zyu maon
妃,fi,fi
妄,waon,maon
妄,maon,maon
妄,waon,vaon
妆,tsaon,tsaon
妇,vu,vu
妇,wu,vu
妈,ma,ma
妊,zen,zen
妊,gnin,zen
妌,zin,zin
妍,gni,gnie
妒,tu,tou
妓,ji,ji
妖,iau,iau
妖鬼,iau kue,iau kue
妖魔鬼怪,iau mu ciu kua,iau mo ciu kua
妗,shi,shie
妘,yon,yun
妘,yun,yun
妙,miau,miau
妝,tsaon,tsaon
妞,gnieu,gnieu
妣,pi,pi
妤,yu,yu
妥,thu,thou
妧,woe,woe
妧,yoe,yoe
妨,faon,faon
妩,wu,vu
妪,iu,iu
妪,yu,iu
妫,kue,kue
妬,tu,tou
妭,baq,beq
妮,gni,gni
妯,zoq,zoq
妰,tsaq,tsaq
妲,taq,taeq
妳,ni,ni
妹,me,me
妻,tshi,tshi
妼,bi,bi
妾,tshiq,tshiq
姂,vaq,vaeq
姆,m,mo
姆,mu,mo
姆,m,m
姈,lin,lin
姊,tsy,tsy
姊,tsy,tsi
始,sy,syu
姍,se,se
姐,tsia,tsia
姐,tsi,tsia
姐,tsy,tsi
姑,ku,kou
姒,zy,zy
姓,sin,sin
委,ue,ue
姗,se,se
姘,phin,phin
姚,yau,yau
姜,cian,cian
姝,sy,syu
姝,tshy,tshyu
姝,tsy,tsyu
姞,jiq,jiq
姣,ciau,ciau
姤,keu,keu
姤,tu,tou
姥,lau,lau
姦,ke,ke
姦,ci,cie
姦,cie,cie
姨,yi,yi
姪,zeq,zeq
姬,ci,ci
姯,kuaon,kuaon
姱,kho,kho
姱,khua,kho
姶,aq,aq
姶,eq,eq
姹,tsho,tsho
姻,in,in
姽,kue,kue
姿,tsy,tsy
娀,son,son
威,ue,ue
威望,ue waon,ue maon
娃,ua,ua
娄,leu,leu
娅,ia,ia
娅,o,o
娅,ia,io
娆,gniau,zau
娇,ciau,ciau
娈,loe,loe
娉,phin,phin
娌,li,li
娍,zen,zen
娏,maon,maon
娑,sa,sou
娑,so,sou
娑,su,sou
娓,vi,vi
娘,gnian,gnian
娘大囡大,gnian du noe du,gnian dou noe dou
娘娘,gnian gnian,gnian gnian
娙,yin,yin
娛,gniu,gniu
娛,yu,yu
娜,na,na
娜,nu,nou
娜个,na gheq,na keq
娟,cioe,cioe
娠,zen,zen
娠,sen,sen
娣,di,di
娥,ngu,ngou
娩,mi,mie
娪,ngu,ngou
娱,gniu,gniu
娱,yu,yu
娲,ua,ua
娲,u,ou
娴,ghe,ye
娴,ye,ye
娴,yi,ye
娵,tsiu,tsi
娶,tshiu,tshi
娶个,tshiu ku,tshi keq
娶個,tshiu ku,tshi kou
娺,tseq,tseq
娼,tshaon,tshan
娼,tshan,tshan
娽,loq,loq
娿,u,ou
婀,u,ou
婁,leu,leu
婆,bu,bu
婇,tshe,tshe
婉,uoe,uoe
婊,piau,piau
婋,hau,hau
婌,zoq,zoq
婍,chi,chi
婕,tsiq,tsiq
婕,ziq,ziq
婘,cioe,cioe
婘,jioe,jioe
婚,huen,huen
婞,yin,yin
婠,uaq,uaeq
婠,uoe,uoe
婡,le,le
婢,bi,bi
婤,tseu,tseu
婤,tsheu,tsheu
婦,vu,vu
婦,wu,vu
婧,zin,zin
婩,gniaq,gniaq
婪,le,le
婪,le,loe
婫,khuen,khuen
婫,wen,wen
婬,yin,yin
婭,ia,ia
婭,o,o
婭,ia,io
婳,waq,waeq
婳,waq,weq
婴,in,in
婵,zoe,zoe
婶,sen,sen
婷,din,din
婸,daon,daon
婺,wu,vu
婻,noe,noe
婼,tshaq,tshaeq
婿,siu,si
婿,si,si
媁,ue,ue
媁,we,we
媂,di,di
媂,ti,ti
媃,zeu,zeu
媄,me,me
媆,gnioe,ngoe
媆,nen,nen
媇,tshin,tshin
媒,me,me
媓,waon,waon
媔,mi,mie
媙,ue,ue
媚,mi,me
媚,me,me
媚,mi,mi
媛,noe,noe
媛,yoe,yoe
媞,di,di
媟,siq,siq
媥,phi,phie
媧,ua,ua
媧,u,ou
媪,au,au
媱,yau,yau
媲,phi,phi
媳,siq,siq
媵,yin,yin
媸,tshy,tshyu
媼,au,au
媽,ma,ma
媾,keu,keu
嫁,ka,cia
嫁,cia,cia
嫁,ka,ka
嫁个,ka ku,cia keq
嫁個,ka ku,cia kou
嫂,sau,sau
嫃,tsen,tsen
嫄,gnioe,gnioe
嫉,ziq,ziq
嫋,gniau,gniau
嫌,yi,ye
嫌恶,yi u,ye ou
嫌惡,yi u,ye ou
嫒,e,e
嫔,bin,bin
嫕,i,i
嫖,biau,biau
嫗,iu,iu
嫗,yu,iu
嫘,le,le
嫚,me,me
嫜,tsaon,tsan
嫠,li,li
嫡,tiq,tiq
嫢,kue,kue
嫣,i,ie
嫤,jin,jin
嫦,zan,zan
嫧,tseq,tseq
嫩,nen,nen
嫪,lau,lau
嫫,mu,mo
嫭,wu,ghou
嫱,zian,zian
嫵,wu,vu
嫺,ghe,ye
嫺,ye,ye
嫺,yi,ye
嫻,ghe,ye
嫻,ye,ye
嫻,yi,ye
嫽,liau,liau
嫿,waq,waeq
嫿,waq,weq
嬁,ten,ten
嬅,gho,gho
嬈,gniau,zau
嬉,shi,shi
嬊,i,ie
嬋,zoe,zoe
嬌,ciau,ciau
嬐,gni,gni
嬐,si,sie
嬖,pi,pi
嬗,zoe,zoe
嬙,zian,zian
嬚,li,lie
嬛,jion,jion
嬛,shioe,shioe
嬛,we,we
嬡,e,e
嬣,gnin,gnin
嬤,mo,mo
嬥,diau,diau
嬪,bin,bin
嬬,zy,zyu
嬯,te,te
嬰,in,in
嬲,gniau,gniau
嬴,yin,yin
嬷,mo,mo
嬸,sen,sen
嬿,i,ie
孀,saon,saon
孃,gnian,gnian
孅,si,sie
孅,tshin,tshin
孌,loe,loe
子,tsy,tsy
孑,ciq,ciq
孑,cioq,ciq
孑,ciuq,ciq
孓,cioq,ciuq
孓,ciuq,ciuq
孔,khon,khon
孕,yon,yun
孕,yun,yun
孕,ion,iun
孖,tsy,tsy
字,zy,zy
存,zen,zen
存了,zen leq,zen leq
孙,sen,sen
孙,san,sen
孙囡儿,sen noe ng,sen noe gni
孚,fu,fu
孛,beq,beq
孜,tsy,tsy
孝,shiau,shiau
孝,hau,hau
孝子,hau tsy,hau tsy
孝子,shiau tsy,shiau tsy
孝服,hau voq,hau voq
孟,man,man
孟,men,men
孢,pau,pau
季,ci,ci
孤,ku,kou
孥,nu,nou
学,ghoq,ghoq
学,yaq,ghoq
学,ghoq,yoq
学生,ghoq san,ghoq san
学长,ghoq tsan,ghoq tsan
孩,ghe,ghe
孪,loe,loe
孫,sen,sen
孫,san,sen
孫囡兒,sen noe ng,sen noe gni
孬,nau,nau
孬,vau,hua
孰,zoq,zoq
孱,ze,ze
孳,tsy,tsy
孵,vu,vu
孵,bu,bu
孵,fu,fu
孵头芽,bu deu nga,bu deu nga
孵小雞,bu siau ci,bu siau ci
孵小鸡,bu siau ci,bu siau ci
孵頭芽,bu deu nga,bu deu nga
學,ghoq,ghoq
學,yaq,ghoq
學,ghoq,yoq
學生,ghoq san,ghoq san
學長,ghoq tsan,ghoq tsan
孺,zy,zyu
孺,lu,zyu
孽,gniq,gniq
孿,loe,loe
宀,mi,mie
宁,gnin,gnin
宁,zy,zyu
宁日,gnin zeq,gnin zeq
宁波,gnin poq,gnin poq
宂,gnion,zon
它,tha,tha
宄,kue,kue
宅,zaq,zaq
宇,yu,yu
宇,yu,iu
守,seu,seu
守孝,seu hau,seu hau
安,oe,oe
安分,oe ven,oe ven
宋,son,son
完,woe,woe
宏,ghon,ghon
宓,miq,miq
宕,daon,daon
宗,tson,tson
官,kuoe,kuoe
官塘大路,kuoe daon da lu,kuoe daon da lou
官長,kuoe tsan,kuoe tsan
官长,kuoe tsan,kuoe tsan
宙,zeu,zeu
定,din,din
定个,din gheq,din keq
宛,uoe,uoe
宜,gni,gni
宝,pau,pau
实,zeq,zeq
宠,tshon,tshon
审,sen,sen
审问,sen men,sen ven
客,khaq,khaq
客,kheq,kheq
客堂間,khaq daon ke,khaq daon ke
客堂间,khaq daon ke,khaq daon ke
宣,si,sie
宣,shioe,shioe
室,seq,seq
宥,yeu,yeu
宦,we,we
宦,we,ue
宧,yi,yi
宪,shi,shie
宫,kon,kon
宮,kon,kon
宰,tse,tse
害,ghe,ghe
宴,i,ie
宴乐,i yaq,ie yaq
宴樂,i yaq,ie yaq
宵,siau,siau
家,ka,cia
家,cia,cia
家,ka,ka
家丑,cia tsheu,cia tsheu
家严,cia gni,cia gnie
家乐,cia loq,cia loq
家乡,cia shian,cia shian
家他,cia tha,cia tha
家來,cia le,cia le
