ch,wuu-sh
否往泰來,phi uaon tha le
否往泰来,phi uaon tha le
否德,phi teq
否心,phi sin
否极泰来,phi jiq tha le
否極泰來,phi jiq tha le
否臧,phi tsaon
吧,ba
吧,pa
吧主,pa tsy
吧裏向,pa li shian
吧里向,pa li shian
吨,ten
吩,fen
含,ghoe
听,thin
吭,khaon
吮,zen
启,chi
吱,tsy
吲,in
吲,sen
吳,wu
吴,wu
吵,tshau
吶,naq
吸,shiq
吹,tshy
吹,tshoe
吻,ven
吻,min
吼,heu
吾,ngu
吿,kau
呀,ia
呂,liu
呃,eq
呆,nge
呆,te
呆傻,te sa
呆子,te tsy
呆小症,te siau tsen
呆木大,nge moq du
呆滞,te zy
呆滯,te zy
呆脫了,nge theq leq
呆脱了,nge theq leq
呇,chi
呈,zen
告,kau
呋,fu
呎,tshaq
呐,naq
呑,then
呒,m
呒啥关系,m sa kue yi
呒大呒小,m du m siau
呒没关系,m meq kue yi
呓,gni
呔,te
呔,tha
呕,eu
呖,liq
呗,pe
呗,ba
员,yoe
呙,ko
呙,u
呙,wa
呙,wu
呛,tshian
呜,u
呢,gni
呢,ne
呢,neq
呣,m
呣,meu
呣,m
呤,lin
呦,ieu
周,tseu
呪,tseu
呱,kuaq
呱,ku
呲,tsy
味,vi
味,mi
味道,mi dau
呴,heu
呵,ho
呶,na
呶,nau
呷,haq
呸,phe
呻,sen
呻,zen
呼,hu
命,min
呾,thaq
咀,tsiu
咂,tsaq
咄,teq
咆,bau
咇,piq
咉,ian
咋,tsaq
咋,tso
咋,tsua
咋,za
咋个,tsaq ku
咋個,tsaq ku
和,wu
咍,he
咎,jieu
咏,ion
咐,fu
咒,tseu
咔,kha
咕,ku
咕,gu
咖,kha
咖,ka
咖哩,ka li
咖喱,ka li
咙,lon
咚,ton
咛,gnin
咝,sy
咡,gni
咣,kuaon
咤,tso
咥,diq
咥,si
咦,yi
咧,liq
咧,liq
咨,tsy
咩,mi
咪,mi
咪,mi
咫,tsy
咬,ngau
咬,yau
咬耳朵,ngau gni tu
咭,shiq
咯,kaq
咯,loq
咱,tsa
咳,kheq
咴,hue
咷,dau
咸,ghe
咺,shioe
咻,shieu
咼,ko
咼,u
咼,wa
咼,wu
咽,iq
咽,i
咽下,i gho
咽喉,i gheu
咽头,i deu
咽炎,i yi
咽頭,i deu
咾,lau
咾,loq
咿,i
咿,yi
咿个,i gheq
咿只,i tsaq
哀,e
哀个,e gheq
品,phin
哂,sen
哃,don
哄,hon
哆,tu
哇,ua
哈,ha
哈啰,ha lu
哈囉,ha lu
哈日,ha zeq
哉,tse
哉,ze
哉,zeq
哌,pha
响,shian
哎,e
哏,gen
哏,hen
哐,khuaon
哑,o
哑,ia
哒,taq
哓,shiau
哔,piq
哕,hue
哕,ioq
哕,iuq
哗,gho
哗,hua
哙,khue
哚,tu
哝,non
哞,meu
哟,yau
員,yoe
哢,lon
哥,ku
哦,ngu
哦,au
哧,tshaq
哨,sau
哩,li
哩,li
哪,na
哪,no
哪一个,na iq ku
哪一個,na iq ku
哪个,na ku
哪個,na ku
哪吒,no tso
哪咤,no tso
哭,khoq
哮,shiau
哱,beq
哱,pheq
哱,po
哲,tseq
哳,tsaq
哴,laon
哶,mi
哺,bu
哼,hen
哼,han
哽,kan
哿,ku
唁,yi
唄,pe
唄,ba
唆,su
唇,zen
唉,e
唊,kaq
唊,chi
唏,shi
唐,daon
唑,zu
唔,n
唛,maq
唝,hon
唝,kon
唠,lau
唢,su
唣,zau
唤,huoe
唧,tsiq
唩,u
唪,von
唬,hu
唬,haq
售,zeu
唯,vi
唰,saq
唱,tshaon
唳,liq
唶,tseq
唶,tsoq
唷,yoq
唸,gnie
唻,le
唼,saq
唾,thu
唿,hueq
啁,tsau
啁,thiau
啁,tseu
啃,khen
啄,tsoq
啄,zoq
商,saon
商行,saon ghaon
啉,lin
啉,le
啊,a
啊,gha
問,ven
問,men
問一問,men iq men
問世,men sy
問人,men gnin
問他,men tha
問個,ven ku
問候,men gheu
問價,men ka
問儂,men non
問及,men jiq
問句,men ciu
問問,men men
問問,ven ven
問好,men hau
問安,men oe
問我,men ngu
問政,men tsen
問案,men oe
問津,men tsin
問答,men taq
問罪,men zoe
問藥,men yaq
問號,men ghau
問訊,men sin
問話,men gho
問誰,men ze
問誰,men zoe
問起,men chi
問路,men lu
問過,men ku
問道,men dau
問難,men ne
問鼎,men tin
啐,tshe
啓,chi
啕,dau
啖,de
啜,tshoq
啞,o
啞,ia
啟,chi
啡,fi
啤,bi
啥,sa
啥个地方,sa gheq di faon
啥个场化,sa gheq zan ho
啥个路道,sa gheq lu dau
啦,la
啦,laq
啧,tseq
啪,phaq
啬,seq
啭,tsoe
啮,gniq
啯,goq
啰,lu
啰,lu
啱,nge
啴,the
啵,poq
啶,din
啷,laon
啸,siau
啻,sy
啼,di
啾,tsieu
喀,khaq
喁,gnion
喂,ue
喂,iu
喂了,iu liau
喂着,iu zaq
喂食,iu zeq
喂鱼,iu ng
喃,noe
善,zoe
善否,zoe phi
喆,tseq
喇,la
喈,cia
喉,gheu
喊,he
喋,tiq
喏,noq
喏,nau
喏,nau
喏,za
喑,in
喔,oq
喖,wu
喘,tshoe
喙,hue
喚,huoe
喜,shi
喜恶,shi u
喜惡,shi u
喝,heq
喝,haq
喟,khue
喤,waon
喥,doq
喦,nge
喧,shioe
喧,si
喧扰,shioe zau
喧擾,shioe zau
喩,yu
喪,saon
喫,chiq
喫生活,chiq san weq
喫着受用,chiq tsaq zeu yon
喫耳光,chiq gni kuaon
喫虧,chiq chiu
喫虧,chiq khue
喫飯間,chiq ve ke
喬,jiau
喭,gni
單,te
單,zoe
單于,zoe yu
單個,te ku
單行,te ghaon
單行,te yin
單被,te bi
喱,li
喲,yau
喳,tsa
喳,tsha
喳吧,tsa pa
喵,miau
喷,phen
喹,khue
喻,yu
喽,leu
喾,khoq
嗀,hoq
嗄,gha
嗄,so
嗅,shieu
嗆,tshian
嗇,seq
嗉,su
嗊,hon
嗊,kon
嗌,a
嗌,iq
嗍,soq
嗎,mo
嗎,ma
嗑,kheq
嗑,gheq
嗑,haq
嗒,taq
嗓,saon
嗔,tshen
嗖,seu
嗚,u
嗜,zy
嗝,keq
嗞,tsy
嗟,tsi
嗡,on
嗣,zy
嗤,tshy
嗥,ghau
嗦,soq
嗨,he
嗩,su
嗪,zin
嗫,gniq
嗬,heq
嗯,en
嗯,n
嗰,geq
嗱,na
嗲,tia
嗳,e
嗵,thon
嗶,piq
嗷,ngau
嗽,seu
嗾,seu
嘀,tiq
嘁,tshiq
嘅,gheq
嘆,the
嘈,zau
嘉,ka
嘉,cia
嘌,phiau
嘍,leu
嘎,kaq
嘏,ka
嘓,goq
嘔,eu
嘖,tseq
嘗,zaon
嘗個,zaon ku
嘘,shiu
嘚,teq
嘛,ma
嘛,ma
嘜,maq
嘞,leq
嘟,tu
嘡,daon
嘣,pan
嘤,in
嘧,miq
嘩,hua
嘬,tsoq
嘬,tshe
嘭,ban
嘮,lau
嘯,siau
嘰,ci
嘱,tsoq
嘲,zau
嘴,tsy
嘴,tsoe
嘵,shiau
嘶,sy
嘸,m
嘸啥關係,m sa kue yi
嘸大嘸小,m du m siau
嘸沒關係,m meq kue yi
嘹,liau
嘻,shi
嘻皮拓脸,shi bi thaq li
嘽,the
嘿,heq
嘿,meq
噀,sen
噁,oq
噂,tsen
噇,zaon
噌,tshen
噍,ziau
噎,iq
噓,shiu
噔,den
噗,phoq
噘,cioq
噘,ciuq
噘,jioq
噘,jiuq
噙,jin
噜,lu
噝,sy
噠,taq
噢,au
噢声能,au san nen
噢聲能,au san nen
噤,jin
噥,non
噦,hue
噦,ioq
噦,iuq
器,chi
器乐,chi yaq
器樂,chi yaq
噩,oq
噪,tshau
噫,i
噫,a
噬,zy
噯,e
噱,shioq
噱,shiuq
噲,khue
噴,phen
噶,keq
噸,ten
噹,taon
噻,se
噼,phiq
噽,phi
嚀,gnin
嚄,waq
嚅,zy
嚆,hau
嚇,haq
嚎,ghau
嚏,thi
嚐,zaon
嚓,tshaq
嚕,lu
嚙,gniq
嚚,gnin
嚜,meq
嚡,gha
嚡里个,gha li gheq
嚢,naon
嚣,shiau
嚥,i
嚦,liq
嚨,lon
嚭,phi
嚮,shian
嚯,hoq
嚲,tu
嚳,khoq
嚴,gni
嚶,in
嚷,gnian
嚻,shiau
嚼,ziaq
囀,tsoe
囁,gniq
囂,shiau
囅,tshoe
囈,gni
囉,lu
囉,lu
囊,naon
囋,tsa
囋,tse
囌,su
囑,tsoq
囓,gniq
囔,naon
囗,wu
囘,we
囚,jieu
四,sy
四下,sy shia
四个,sy gheq
四个,sy ku
四十,sy seq
囝,noe
囝,ci
回,we
囟,sin
因,in
因日,in zeq
囡,noe
囡,noe
囡儿,noe ng
囡兒,noe ng
囡囡,noe noe
团,doe
团长,doe tsan
囤,den
囥,khaon
囧,cion
囪,tshon
囫,weq
囬,we
园,yoe
园长,yoe tsan
囯,kueq
困,khuen
困晏觉,khuen e kau
困覺,khuen kau
困觉,khuen kau
囱,tshon
围,we
围,yu
围兜,yu teu
围巾,yu cin
围涎,yu ze
围袋袋,yu de de
围身,yu sen
囵,len
囷,chion
囷,chiun
囹,lin
固,ku
国,koq
国乐,koq yaq
国家,koq cia
图,du
图个,du ku
囿,yeu
圃,phu
圄,gniu
圆,yoe
圇,len
圈,chioe
圈,jioe
圉,gniu
圊,tshin
國,koq
國家,koq cia
國樂,koq yaq
圌,zoe
圍,we
圍,yu
圍兜,yu teu
圍巾,yu cin
圍涎,yu ze
圍袋袋,yu de de
圍身,yu sen
圐,khu
園,yoe
園長,yoe tsan
圓,yoe
圖,du
圖個,du ku
團,doe
團長,doe tsan
圙,len
圜,we
圜,yoe
土,thu
土家,thu cia
圢,thin
圣,sen
圤,phoq
圤,phau
在,ze
在行,ze ghaon
圩,we
圩,shiu
圪,keq
圫,au
圬,u
圭,kue
圮,bi
圯,yi
地,di
地方个,di faon gheq
圱,tshi
圲,tshi
圳,tsen
圹,khuaon
场,zan
场长,zan tsan
圻,ji
圼,gniq
圾,si
圾,seq
址,tsy
坂,pe
均,cion
均,ciun
坉,den
坊,faon
坋,ven
坌,ben
坍,the
坎,khe
坏,wa
坏,be
坏,phe
坐,zu
坐家囡,zu ka noe
坑,khan
坑,khaon
坒,bi
块,khue
坚,ci
坛,de
坜,liq
坝,po
坝,pa
坞,u
坟,ven
坠,zoe
坡,phu
坤,khuen
坥,tshiu
坦,the
坦率,the se
坨,du
坩,koe
坪,bin
坫,ti
坬,kua
坭,gni
坯,phe
坰,cion
坳,au
坷,khu
坷垃,khu la
坻,zy
坻,ti
坼,tshaq
坽,lin
垂,zoe
垂涎,zoe yi
垃,laq
垃,la
垃圾,la si
垃圾,laq seq
垃拉,laq laq
垄,lon
垅,lon
垆,lu
垈,de
型,yin
垌,don
垍,ji
垎,khaq
垏,liq
垒,le
垓,ke
垕,gheu
垙,kuaon
垚,gniau
垛,tu
垛,du
垞,zo
垟,yan
垠,gnin
垡,vaq
垢,keu
垣,yoe
垤,diq
垦,khen
垧,san
垩,o
垩,oq
垫,di
垭,ia
垮,kho
垮,khua
垯,taq
垱,taon
垲,khe
垴,nau
垸,woe
垸,yoe
垺,beu
垾,ghoe
垿,ziu
埂,kan
埃,e
埆,chiaq
埆,khoq
埆,koq
埇,ion
埋,ma
埌,laon
城,zen
埏,yi
埒,liq
埔,phu
埔,pu
埕,zen
埗,bu
埘,zy
埙,shioe
埚,ku
埝,gni
埝,ti
域,yoq
域,yuq
埠,bu
埡,ia
埤,bi
埨,len
埪,khon
埫,san
埫,tshon
埭,da
埯,oe
埰,tshe
埲,bon
埴,zeq
執,tseq
埸,yiq
培,be
基,ci
埼,ji
埽,sau
堂,daon
堃,khuen
堅,ci
堆,te
堇,cin
堉,yoq
堊,o
堊,oq
堋,ben
堋,pen
堌,ku
堍,thu
堎,len
堐,ya
堑,tshi
堕,du
堙,in
堝,ku
堞,diq
堟,zoe
堠,gheu
堡,pau
堢,pau
堢,phu
堢,pu
堤,di
堧,gnioe
堨,e
堨,eq
堨,gniq
堪,khe
堯,gniau
堯,yau
堰,i
報,pau
堲,tsiq
場,zan
場長,zan tsan
堵,tu
堼,fon
堽,kaon
堾,tshen
堾,tshoe
堿,ke
塃,huaon
塄,len
塅,doe
塆,ue
塈,ji
塊,khue
塋,yin
塋,yon
塌,thaq
塍,zen
塏,khe
塑,su
塑,soq
塑料,soq liau
塑料,su liau
塑胶,soq kau
塑胶,su kau
塑膠,soq kau
塑膠,su kau
塒,zy
塔,thaq
塕,on
塗,du
塘,daon
塚,tson
塝,baon
塞,seq
塞,se
塞內,se ne
塞内,se ne
塞北,se poq
塞外,se nga
塞尚,se zaon
塞得,se teq
塞族,se zoq
塞翁,se on
塢,u
塤,shioe
塥,keq
填,di
塬,gnioe
塮,zia
塱,laon
塳,bon
塵,zen
塸,eu
塸,tshieu
塹,tshi
塾,zoq
塿,leu
墀,zy
墁,moe
境,cin
墅,zy
墈,khoe
墉,yon
墊,di
墐,jin
墑,saon
墒,saon
墓,mo
墓,mu
墘,ji
墙,zian
墚,lian
墜,zoe
增,tsen
增大,tsen du
增長,tsen tsan
增长,tsen tsan
墟,shiu
墠,zoe
墡,zoe
墣,phoq
墦,ve
墨,meq
墩,ten
墮,du
墳,ven
墶,taq
墺,au
墻,zian
墼,ciq
墾,khen
壁,piq
壅,ion
壇,de
壋,taon
壑,hoq
壓,aq
壕,ghau
壗,he
壘,le
壙,khuaon
壚,lu
壜,de
壞,wa
壟,lon
壠,lon
壢,liq
壤,gnian
壩,po
壩,pa
壪,ue
士,zy
壬,gnin
壬,zen
壮,tsaon
壮,zaon
壮族,zaon zoq
壯,tsaon
壯,zaon
壯族,zaon zoq
声,sen
声,san
声乐,sen yaq
声望,sen waon
声气,san chi
壳,khoq
壶,wu
壷,wu
壸,khuen
壹,iq
壺,wu
壻,siu
壼,khuen
壽,zeu
夂,tson
夂,tsy
处,tshy
处长,tshy tsan
备,be
夊,soe
复,foq
复,voq
复会,voq we
复信,voq sin
复员,voq yoe
夏,gho
夏,shia
夐,shioe
夐,yon
夔,gue
夕,ziq
外,nga
外孙囡,nga san noe
外孫囡,nga san noe
外行,nga ghaon
外長,nga tsan
外长,nga tsan
夗,ioe
夘,tsi
夙,soq
多,tu
多,ta
多个,tu gheq
多个,tu ku
多大,tu du
多日,ta gniq
多日,tu gniq
多日,tu zeq
夜,ya
够,keu
够个,keu gheq
夠,keu
夢,maon
夢,mon
夤,yin
夥,hu
大,da
大,du
大一点,du iq ti
大一點,du iq ti
大丰,du fon
大乱,du loe
大亂,du loe
大事体,du zy thi
大事體,du zy thi
大亏,du khue
大些,du si
大人道理,du gnin dau li
大伯伯,du paq paq
大但,du de
大佬,du lau
大修,du sieu
大假,du ka
大公司,du kon sy
大兵,du pin
大冲浪,du tshon laon
大前天,du zi thi
大前日,du zi gniq
大功,du kon
大加,du ka
大动,du don
大劫,du ciq
大勇,du ion
大動,du don
大勤共,du jin gon
大勿对头,du veq te deu
大勿對頭,du veq te deu
大化,du ho
大区,du chiu
大區,du chiu
大半,du poe
大厂,du tshan
大厅,du thin
大原,du gnioe
大厨,du zy
大厰,du tshan
大县,du yoe
大叔,du soq
大变,du pi
大口,du kheu
大叫,du ciau
大吃,du chiq
大名人,du min gnin
大后天,du gheu thi
大后日,du gheu gniq
大吵,du tshau
大吹,du tshy
大吼,du heu
大呼,du hu
大哭,du khoq
大喜,du shi
大喫,du chiq
大嘴巴,du tsy po
大嚷,du gnian
大嚼,du ziaq
大圈子,du chioe tsy
大地方,du di faon
大城,du zen
大堂,du daon
大堤,du di
大報,du pau
大增,du tsen
大大前日,du du zi gniq
大头,du deu
大头大脑,du deu du nau
大好佬,du hau lau
大妈妈,du ma ma
大妹,du me
大姐,da tsi
大姐,du tsia
大姑,du ku
大姑娘,da ku gnian
大姑娘,du ku gnian
大姓,du sin
大姨,du yi
大媽媽,du ma ma
大嫂,du sau
大字库,du zy khu
大字庫,du zy khu
大官,du kuoe
大家,da cia
大家,da ka
大家大当,du ka du taon
大家大當,du ka du taon
大小,du siau
大局,du jioq
大山,du se
大川,du tshoe
大市,du zy
大幅,du foq
大干,du koe
大年三十,da gni se zeq
大年三十,du gni se seq
大年三十,du gni se zeq
大年夜,du gni ya
大幹,du koe
大度,da du
大廚,du zy
大廳,du thin
大弟,du di
大後天,du gheu thi
大後日,du gheu gniq
大忙,du maon
大悲,du pe
大惊,du cin
大戏,du shi
大战,du tsoe
大截,du ziq
大戰,du tsoe
大戲,du shi
大手,du seu
大打,du tan
大把,du po
大抓,du tsa
大报,du pau
大排,du ba
大排汤,da ba thaon
大排湯,da ba thaon
大推大扳,du the du pe
大推扳,du the pe
大敌,du diq
大敗,du ba
大敵,du diq
大斧,du fu
大旗,du ji
大月,du gnioq
大月,du gniuq
大月,du yoq
大月,du yuq
大村,du tshen
大枪,du tshian
大柜,du gue
大树,du zy
大桥,du jiau
大梁,du lian
大棚,du ban
大楼,du leu
大槍,du tshian
大樑,du lian
大樓,du leu
大樹,du zy
大橋,du jiau
大櫃,du gue
大殿,du di
大水,du sy
大汗,du ghoe
大汛,du sin
大洞,du don
大派,du pha
大流,du lieu
大浪,du laon
大清早,du tshin tsau
大清老早,du tshin lau tsau
大溪,du chi
大潮汛,du zau sin
大火,du hu
大灶,du tsau
大煠蟹,du zaq ha
大班,du pe
大病,du bin
大的,du tiq
大皮,du bi
大眼,du nge
大碗,du uoe
大碟,du diq
大社,du zo
大祸,du wu
大禍,du wu
大竈,du tsau
大站,du ze
大篆,du zoe
大篮,du le
大籃,du le
大类,du le
大紅,du ghon
大細,du si
大網,du maon
大縣,du yoe
大红,du ghon
大细,du si
大网,du maon
大罪,du zoe
大罵,du mo
大老板,du lau pe
大老闆,du lau pe
大肚皮,du du bi
大胖子,du phaon tsy
大脚,du ciaq
大脚膀,du ciaq phaon
大腳,du ciaq
大膀,du phaon
大舅,du jieu
大舌头,du zeq deu
大舌頭,du zeq deu
大菜間,da tshe ke
大菜间,da tshe ke
大藏区,du zaon chiu
大藏區,du zaon chiu
大虧,du khue
大虾,du ho
大蛇,du zo
大蝦,du ho
大螺,du lu
大血,du shioq
大血,du shiuq
大衝浪,du tshon laon
大被告,da bi kau
大襟衣裳,du cin i zaon
大解,du cia
大計,du ci
大變,du pi
大计,du ci
大谷,du koq
大豆,du deu
大豐,du fon
大賽,du se
大败,du ba
大赛,du se
大跌,du tiq
大路,du lu
大身,du sen
大車,du tsho
大车,du tsho
大門,du men
大门,du men
大阿姨,du a yi
大阿姨,du aq yi
大阿福,du aq foq
大震,du tsen
大頭,du deu
大頭大腦,du deu du nau
大額,du ngaq
大類,du le
大额,du ngaq
大馬,du mo
大駕,du ka
大驚,du cin
大马,du mo
大驾,du ka
大骂,du mo
大骱,du ga
大髈,du phaon
大魚,du ng
大鱼,du ng
大鴇,du pau
大鵬,du ban
大鸨,du pau
大鹏,du ban
大龍,du lon
大龙,du lon
夨,liq
天,thi
天分,thi ven
天大,thi du
天差地別,thi tsho di biq
天差地别,thi tsho di biq
天狗吃月亮,thi keu chiq yoq lian
天狗吃月亮,thi keu chiq yuq lian
天狗喫月亮,thi keu chiq yoq lian
天狗喫月亮,thi keu chiq yuq lian
天生,thi san
太,tha
太,the
太大,tha du
太行,tha ghaon
夫,fu
夬,kua
夭,iau
央,ian
央行,ian ghaon
夯,han
失,seq
失望,seq waon
头,deu
头个,deu gheq
头生,deu san
夶,pi
夷,yi
夸,kho
夸,khua
夸張,khua tsan
夹,kaq
夹,ciaq
夺,deq
夼,khuaon
夾,kaq
夾,ciaq
奁,li
奂,huoe
奄,i
奅,mau
奇,ji
奈,ne
奉,von
奋,fen
奎,khue
奏,tseu
奏乐,tseu yaq
奏樂,tseu yaq
奐,huoe
契,chi
契,chiq
契丹,chiq te
契舟求剑,chiq tseu jieu ci
契舟求劒,chiq tseu jieu ci
奓,tsa
奓,so
奓,tshy
奔,pen
奕,yiq
奖,tsian
套,thau
奘,tsaon
奘,zaon
奘力,zaon liq
奚,shi
奚,yi
奠,di
奡,ngau
奢,so
奢,shia
奢遮,shia tsa
奥,au
奧,au
奩,li
奪,deq
奭,saq
奮,fen
奯,huaq
女,gniu
女个,gniu gheq
女仔,gniu tse
女家,gniu cia
女家,gniu ka
女当家,gniu taon ka
女當家,gniu taon ka
奴,nu
奶,na
奶,ne
奸,ke
奸,ci
奸,cie
她,tha
好,hau
好个,hau gheq
好个,hau ku
好个怀,hau gheq wa
好個懷,hau gheq wa
好呢,hau ne
好問,hau men
好多日,hau tu gniq
好恶,hau u
好惡,hau u
好生意經,hau san i cin
好生意经,hau san i cin
好覺,hau kau
好觉,hau kau
好问,hau men
妁,zaq
如,zy
如,lu
如日,zy zeq
如望,zy waon
妃,fi
妄,waon
妄,maon
妆,tsaon
妇,vu
妇,wu
妈,ma
妊,zen
妊,gnin
妌,zin
妍,gni
妒,tu
妓,ji
妖,iau
妖鬼,iau kue
妖魔鬼怪,iau mu ciu kua
妗,shi
妘,yon
妘,yun
妙,miau
妝,tsaon
妞,gnieu
妣,pi
妤,yu
妥,thu
妧,woe
妧,yoe
妨,faon
妩,wu
妪,iu
妫,kue
妬,tu
妭,baq
妮,gni
妯,zoq
妰,tsaq
妲,taq
妳,ni
妹,me
妻,tshi
妼,bi
妾,tshiq
姂,vaq
姆,m
姈,lin
姊,tsy
始,sy
姍,se
姐,tsia
姐,tsi
姑,ku
姒,zy
姓,sin
委,ue
姗,se
姘,phin
姚,yau
姜,cian
姝,sy
姝,tshy
姞,jiq
姣,ciau
姤,keu
姤,tu
姥,lau
姦,ke
姦,ci
姦,cie
姨,yi
姪,zeq
姬,ci
姯,kuaon
姱,kho
姱,khua
姶,aq
姶,eq
姹,tsho
姻,in
姽,kue
姿,tsy
娀,son
威,ue
威望,ue waon
娃,ua
娄,leu
娅,ia
娅,o
娆,gniau
娇,ciau
娈,loe
娉,phin
娌,li
娍,zen
娏,maon
娑,sa
娑,so
娓,vi
娘,gnian
娘,gnian
娘大囡大,gnian du noe du
娘娘,gnian gnian
娙,yin
娛,gniu
娛,yu
娜,na
娜,nu
娜个,na gheq
娟,cioe
娠,zen
娣,di
娥,ngu
娩,mi
娪,ngu
娱,gniu
娱,yu
娲,ua
娴,ghe
娴,ye
娴,yi
娵,tsiu
娶,tshiu
娶个,tshiu ku
娶個,tshiu ku
娺,tseq
娼,tshaon
娽,loq
娿,u
婀,u
婁,leu
婆,bu
婇,tshe
婉,uoe
婊,piau
婋,hau
婌,zoq
婍,chi
婕,tsiq
婘,cioe
婘,jioe
婚,huen
婞,yin
婠,uaq
婠,uoe
婡,le
婢,bi
婤,tseu
婤,tsheu
婦,vu
婦,wu
婧,zin
婩,gniaq
婪,le
婫,khuen
婫,wen
婬,yin
婭,ia
婭,o
婳,waq
婴,in
婵,zoe
婶,sen
婷,din
婸,daon
婺,wu
婻,noe
婼,gnia
婼,tshaq
婿,siu
婿,si
媁,ue
媁,we
媂,di
媂,ti
媃,zeu
媄,me
媆,gnioe
媆,nen
媇,tshin
媒,me
媓,waon
媔,mi
媙,ue
媚,mi
媚,me
媛,noe
媛,yoe
媞,di
媥,phi
媧,ua
媪,au
媱,yau
媲,phi
媳,siq
媵,yin
媸,tshy
媼,au
媽,ma
媾,keu
嫁,ka
嫁,cia
嫁个,ka ku
嫁個,ka ku
嫂,sau
嫃,tsen
嫄,gnioe
嫉,ziq
嫋,gniau
嫌,yi
嫌恶,yi u
嫌惡,yi u
嫒,e
嫔,bin
嫕,i
嫖,biau
嫗,iu
嫘,le
嫚,me
嫜,tsaon
嫠,li
嫡,tiq
嫢,kue
嫣,i
嫤,jin
嫦,zan
嫧,tseq
嫩,nen
嫪,lau
嫫,mu
嫭,wu
嫱,zian
嫵,wu
嫺,ghe
嫺,ye
嫺,yi
嫻,ghe
嫻,ye
嫻,yi
嫽,liau
嫿,waq
嬁,ten
嬅,gho
嬈,gniau
嬉,shi
嬊,i
嬋,zoe
嬌,ciau
嬐,gni
嬐,si
嬖,pi
嬗,zoe
嬙,zian
嬚,li
嬛,jion
嬛,shioe
嬛,we
嬡,e
嬣,gnin
嬤,mo
嬥,diau
嬪,bin
嬬,zy
嬰,in
嬲,gniau
嬴,yin
嬷,mo
嬸,sen
嬿,i
孀,saon
孃,gnian
孃,gnian
孅,si
孅,tshin
孌,loe
子,tsy
孑,ciq
孑,cioq
孑,ciuq
孓,cioq
孓,ciuq
孔,khon
孕,yon
孕,yun
孖,tsy
字,zy
存,zen
存了,zen leq
孙,sen
孙,san
孙囡儿,sen noe ng
孚,fu
孛,beq
孜,tsy
孝,shiau
孝,hau
孝子,hau tsy
孝子,shiau tsy
孝服,hau voq
孟,man
孢,pau
季,ci
孤,ku
孥,nu
学,ghoq
学,yaq
学生,ghoq san
学长,ghoq tsan
孩,ghe
孪,loe
孫,sen
孫,san
孫囡兒,sen noe ng
孬,nau
孬,vau
孰,zoq
孱,ze
孳,tsy
孵,vu
孵,bu
孵头芽,bu deu nga
孵小雞,bu siau ci
孵小鸡,bu siau ci
孵頭芽,bu deu nga
學,ghoq
學,yaq
學生,ghoq san
學長,ghoq tsan
孺,zy
孺,lu
孽,gniq
孿,loe
宀,mi
宁,gnin
宁,zy
宁日,gnin zeq
宁波,gnin poq
宂,gnion
它,tha
宄,kue
宅,zaq
宇,yu
守,seu
守孝,seu hau
安,oe
安分,oe ven
宋,son
完,woe
宏,ghon
宓,miq
宕,daon
宗,tson
官,kuoe
官塘大路,kuoe daon da lu
官長,kuoe tsan
官长,kuoe tsan
宙,zeu
定,din
定个,din gheq
宛,uoe
宜,gni
宝,pau
实,zeq
宠,tshon
审,sen
审问,sen men
客,khaq
客堂間,khaq daon ke
客堂间,khaq daon ke
宣,si
宣,shioe
室,seq
宥,yeu
宦,we
宧,yi
宪,shi
宫,kon
宮,kon
宰,tse
害,ghe
宴,i
宴乐,i yaq
宴樂,i yaq
宵,siau
家,ka
家,cia
家丑,cia tsheu
家严,cia gni
家乐,cia loq
家乡,cia shian
家他,cia tha
家來,cia le
家务,cia vu
家務,cia vu
家去,cia chi
家口,cia kheu
家史,cia sy
家后,cia gheu
家和,cia wu
家商,cia saon
家嚴,cia gni
家在,cia ze
家塾,cia zoq
家境,cia cin
家声,cia sen
家她,cia tha
家子,cia tsy
家家,cia cia
家家,ka ka
家庄,cia tsaon
家庭,cia din
家当,cia taon
家当,ka taon
家後,cia gheu
家慈,cia zy
家成,cia zen
家教,cia ciau
家教,ka ciau
家景,cia cin
家有,cia yeu
家来,cia le
家樂,cia loq
家殷,cia in
家燕,cia i
家生,ka san
家當,cia taon
家當,ka taon
家眷,cia cioe
家眷,ka cioe
家系,cia yi
家系,ka yi
家累,cia le
家給,cia ciq
家给,cia ciq
家聲,cia sen
家臣,cia zen
家莊,cia tsaon
家裏,cia li
家裏,ka li
家規,cia kue
家规,cia kue
家計,cia ci
家訓,cia shion
家訓,cia shiun
家訪,cia faon
家譜,cia pu
家计,cia ci
家训,cia shion
家训,cia shiun
家访,cia faon
家谱,cia pu
家进,cia tsin
家進,cia tsin
家鄉,cia shian
家醜,cia tsheu
家里,cia li
家里,ka li
家長,cia tsan
家長裏短,cia zan li toe
家長裏短,ka zan li toe
家长,cia tsan
家长里短,cia zan li toe
家长里短,ka zan li toe
家風,cia fon
家风,cia fon
家齊,cia zi
家齐,cia zi
宸,zen
容,yon
容易,yon i
宽,khuoe
宾,pin
宿,soq
宿,sieu
宿舍,soq se
宿舍,soq so
宿舍,soq soe
寀,tshe
寁,tsoe
寂,ziq
寃,ioe
寄,ci
寄望,ci waon
寅,yin
密,miq
寇,kheu
富,fu
寐,me
寒,ghoe
寓,gniu
